Komoditas(Rp),Beras
4/1/2021,12350
5/1/2021,12350
6/1/2021,12350
7/1/2021,12350
8/1/2021,12350
11/1/2021,12350
12/1/2021,12350
13/01/2021,12350
14/01/2021,12350
15/01/2021,12350
18/01/2021,12350
19/01/2021,12350
20/01/2021,12350
21/01/2021,12350
22/01/2021,12350
25/01/2021,12350
26/01/2021,12350
27/01/2021,12350
28/01/2021,12350
29/01/2021,12350
1/2/2021,12350
2/2/2021,12350
3/2/2021,12350
4/2/2021,12350
5/2/2021,12350
8/2/2021,12350
9/2/2021,12350
10/2/2021,12350
11/2/2021,12350
15/02/2021,12350
16/02/2021,12350
17/02/2021,12350
18/02/2021,12350
19/02/2021,12350
22/02/2021,12350
23/02/2021,12350
24/02/2021,12350
25/02/2021,12350
26/02/2021,12350
1/3/2021,12350
2/3/2021,12350
3/3/2021,12350
4/3/2021,12350
5/3/2021,12350
8/3/2021,12350
9/3/2021,12350
10/3/2021,12350
12/3/2021,12350
15/03/2021,12350
16/03/2021,12350
17/03/2021,12350
18/03/2021,12350
19/03/2021,12350
22/03/2021,12350
23/03/2021,12350
24/03/2021,12350
25/03/2021,12350
26/03/2021,12350
29/03/2021,12350
30/03/2021,12350
31/03/2021,12350
1/4/2021,12350
5/4/2021,12350
6/4/2021,12350
7/4/2021,12350
8/4/2021,12350
9/4/2021,12350
12/4/2021,12350
13/04/2021,12350
14/04/2021,12350
15/04/2021,12350
16/04/2021,12350
19/04/2021,12350
20/04/2021,12350
21/04/2021,12350
22/04/2021,14050
23/04/2021,12350
26/04/2021,12350
27/04/2021,12350
28/04/2021,12350
29/04/2021,12350
30/04/2021,12350
3/5/2021,12350
4/5/2021,12350
5/5/2021,12350
6/5/2021,12350
7/5/2021,12350
10/5/2021,12350
11/5/2021,12350
17/05/2021,12350
18/05/2021,12350
19/05/2021,12350
20/05/2021,12350
21/05/2021,12350
24/05/2021,12350
25/05/2021,12350
27/05/2021,12350
28/05/2021,12350
31/05/2021,12350
2/6/2021,12350
3/6/2021,12350
4/6/2021,12350
7/6/2021,12350
8/6/2021,12350
9/6/2021,12350
10/6/2021,12350
11/6/2021,12350
14/06/2021,12350
15/06/2021,12350
16/06/2021,12350
17/06/2021,12350
18/06/2021,12350
21/06/2021,12350
22/06/2021,12350
23/06/2021,12350
24/06/2021,12350
25/06/2021,12350
28/06/2021,12350
29/06/2021,12350
30/06/2021,12350
1/7/2021,12400
2/7/2021,12400
5/7/2021,12400
6/7/2021,12400
7/7/2021,12400
8/7/2021,12250
9/7/2021,12200
12/7/2021,12200
13/07/2021,12200
14/07/2021,12150
15/07/2021,12200
16/07/2021,12200
19/07/2021,12200
